article_name,nb_in_unfinished_paths,nb_in_finished_paths,nb_links,views

Áedán mac Gabráin,0,0,11,1626.9126213592233
Åland,2,2,19,15422.271844660194
Édouard Manet,5,2,20,30754.922330097088
Éire,8,1,8,12876.339805825242
Óengus I of the Picts,0,0,10,554.4563106796116
€2 commemorative coins,0,1,47,2639.116504854369
10th century,35,98,91,7196.621359223301
11th century,19,112,105,8892.126213592233
12th century,28,131,130,8622.883495145632
13th century,37,117,118,9661.669902912621
14th century,55,144,102,11159.126213592233
15th Marine Expeditionary Unit,1,6,25,2327.6796116504856
15th century,61,173,157,14699.0
16 Cygni,1,8,23,653.9417475728155
16 Cygni Bb,2,16,13,594.5533980582525
16th century,56,205,216,18311.88349514563
1755 Lisbon earthquake,6,15,27,22956.601941747573
17th century,50,143,214,18639.252427184467
1896 Summer Olympics,29,30,29,36691.087378640776
18th century,73,218,267,25326.78640776699
1928 Okeechobee Hurricane,7,16,24,687.5339805825242
1973 oil crisis,10,26,68,46045.19417475728
1980 eruption of Mount St. Helens,4,15,46,54641.446601941745
1997 Pacific hurricane season,0,0,17,1134.2815533980583
19th century,193,478,453,38253.922330097084
1 Ceres,49,78,44,1411.6601941747572
1st century,24,48,340,13835.660194174758
1st century BC,35,64,68,10548.718446601943
2-6-0,7,3,6,2584.7961165048546
2-8-0,2,5,8,2929.097087378641
2003 Atlantic hurricane season,12,29,26,4466.776699029127
2004 Atlantic hurricane season,19,43,55,10486.912621359223
2004 Indian Ocean earthquake,17,52,98,9357.679611650485
2005 Atlantic hurricane season,24,111,82,19962.922330097088
2005 Hertfordshire Oil Storage Terminal fire,1,4,10,500.66990291262135
2005 Kashmir earthquake,6,8,17,12842.378640776698
2005 Lake Tanganyika earthquake,0,0,15,530.6601941747573
2005 Sumatra earthquake,6,24,23,357.0686274509804
20th century,253,693,399,47122.77669902913
21st century,53,118,189,65981.39805825242
2nd century,14,41,59,6488.21359223301
3 Juno,12,25,14,3852.0388349514565
3rd century,15,48,65,5396.339805825242
4-2-0,5,7,8,943.8155339805825
4-4-0,9,13,18,4151.9902912621355
4-6-0,6,8,10,3493.902912621359
47 Ursae Majoris,2,7,47,1250.8252427184466
47 Ursae Majoris b,2,12,15,570.1067961165048
47 Ursae Majoris c,3,2,13,266.6796116504854
4 Vesta,14,24,28,16883.64077669903
4th century,16,62,181,5733.78640776699
55 Cancri,7,28,104,2831.339805825243
55 Cancri b,2,7,19,648.747572815534
55 Cancri c,2,20,17,442.79611650485435
55 Cancri d,1,7,19,430.8932038834951
55 Cancri e,2,8,18,7185.864077669903
5th century,29,104,247,6786.436893203883
6-2-0,6,8,4,541.3009708737864
6th century,19,97,304,6947.019417475728
7th century,20,72,318,7486.0291262135925
8th century,15,78,364,6104.679611650486
90377 Sedna,5,10,24,21916.194174757282
9th century,28,91,570,6797.553398058252
A. E. J. Collins,0,0,9,1444.9223300970873
ABO blood group system,1,11,22,31018.990291262136
AC DC,0,0,28,474.9805825242718
AIDS,78,262,165,47337.05825242718
AK-47,11,25,41,177695.60194174756
ALCO FA,2,12,8,2189.0776699029125
ASCII,29,49,15,128315.3786407767
AT&T,13,43,25,100896.80582524271
ATLAS experiment,0,6,17,4164.019417475728
A Christmas Carol,7,41,22,90648.19417475729
A Tale of a Tub,5,9,19,4052.8252427184466
A Wrinkle in Time,0,0,14,64595.70873786408
A cappella,5,37,19,28563.087378640776
Aachen,3,11,53,39964.31067961165
Aardvark,9,23,23,47413.398058252424
Aarhus,2,25,27,22478.796116504855
Abacá,0,0,7,6443.126213592233
Abacus,17,42,18,52889.48543689321
Abadan,4,4,12,1393.2524271844661
Abbadid,0,2,8,191.19417475728156
Abbas I of Persia,0,0,14,6218.9126213592235
Abbasid,9,22,46,5741.669902912621
Abbey,8,22,183,12909.271844660194
Abbey Theatre,2,18,24,3798.766990291262
Abbot,5,23,36,9889.330097087379
Abel Tasman,6,12,19,15242.038834951456
Aberdeen,9,24,68,42740.31067961165
Aberration of light,5,12,18,2949.019417475728
Aberystwyth,5,11,16,15828.116504854368
Abhidhamma Pitaka,5,13,7,1623.3398058252428
Abidjan,3,11,30,25796.349514563106
Abkhazia,6,14,43,68281.93203883494
Able Archer 83,4,16,15,17791.611650485436
Abraham Goldfaden,0,0,24,716.8834951456311
Abraham Lincoln,54,122,97,530879.0
Absinthe,10,27,42,155135.98058252427
Absolute zero,13,54,25,45574.155339805824
Abstract art,11,40,19,32931.49514563107
Abu Dhabi,6,27,31,113048.06796116506
Abuja,4,24,13,37668.679611650485
Acceleration,27,74,27,38680.76699029126
Accountancy,11,25,21,4494.757281553398
Accra,4,18,20,33958.50485436893
Acetic acid,11,25,75,83685.94174757281
Acetone,8,25,23,68274.09708737864
Achilles,34,107,39,144389.4077669903
Achilles tendon,22,65,2,24447.64077669903
Acid rain,15,86,42,54360.36893203884
Acorn Computers,5,12,24,7685.592233009709
Actinium,4,23,26,10014.73786407767
Action potential,23,33,23,45387.17475728155
Actor,149,157,55,65313.68932038835
Acts of Union 1707,14,25,27,24770.495145631066
Actuary,0,0,32,32493.757281553397
Adam Smith,6,38,65,93463.25242718446
Addis Ababa,5,15,19,57600.18446601942
Adelaide,7,25,40,65030.50485436893
Adenosine triphosphate,12,40,30,57954.8640776699
Adi Shankara,0,0,15,55427.398058252424
Adolf Hitler,125,865,187,779966.2427184467
Adriaen van der Donck,0,0,5,1125.873786407767
Advertising,57,123,63,111717.09708737864
Aesthetics,29,64,82,67868.33980582525
Afghan Hound,6,11,10,23479.398058252427
Afghanistan,32,144,209,356342.53398058255
Africa,704,2673,2660,219289.16504854368
African American literature,5,17,31,570.1456310679612
African Black Oystercatcher,0,0,10,14.54368932038835
African Brush-tailed Porcupine,0,3,7,46.029126213592235
African Buffalo,3,14,21,1139.3106796116506
African Darter,0,5,9,42.96116504854369
African Great Lakes,5,42,32,20918.038834951458
African Grey Hornbill,0,6,8,124.40776699029126
African Grey Parrot,4,20,18,753.4660194174758
African Jacana,0,0,10,87.47572815533981
African Penguin,5,37,17,685.9708737864078
African Union,14,61,127,54682.330097087375
African Wild Dog,7,20,13,2083.980582524272
African clawed frog,6,20,9,6905.368932038835
African dwarf frog,2,22,7,7998.223300970873
African slave trade,7,30,31,3360.9223300970875
Afrikaans,19,34,62,71978.66990291262
Agamemnon,6,26,20,48557.83495145631
Age of Enlightenment,43,154,114,139276.39805825244
Aggregator,3,12,9,4206.854368932039
Agnosticism,7,36,19,105579.47572815535
Agriculture,498,1117,298,118285.55339805825
Airbus,4,39,94,91086.22330097087
Airbus A380,14,45,52,164392.7281553398
Aircraft,99,202,125,36368.8932038835
Aircraft carrier,20,57,63,101139.98058252427
Airship,33,44,41,32581.40776699029
Ajax (programming),5,7,5,69864.52427184465
Akbar,5,7,27,157665.8058252427
Akhenaten,1,17,17,66024.42718446603
Akira Kurosawa,4,12,15,70048.57281553397
Akkadian Empire,7,15,20,46954.33980582524
Akrotiri and Dhekelia,2,11,23,30623.805825242718
Aksumite currency,4,9,15,1274.4757281553398
Al Jazeera,4,22,42,184766.56310679612
Alamosaurus,0,0,18,4398.0873786407765
Alan Turing,23,34,33,316943.145631068
Albania,8,39,238,233688.6213592233
Albatross,14,40,73,50124.446601941745
Albert Einstein,104,326,176,614766.3689320388
Alberto Santos-Dumont,6,4,28,13698.029126213592
Albertosaurus,0,0,21,7798.0
